Lotus Energy Drink 20oz Can	energy	UNKNOWN	Uptown Store (51).JPEG
Celsius Energy Drink 12oz Can	energy	KEHE	Uptown Store (51).JPEG
Red Bull Energy Drink 12oz Can	energy	RED BULL	Uptown Store (51).JPEG
Monster Energy 16oz Can	energy	COKE/PEPSI DSD	Uptown Store (51).JPEG
Ghost Energy 16oz Can	energy	UNKNOWN	Uptown Store (51).JPEG
GT's Synergy Kombucha 16oz Bottle	functional bev	KEHE	Uptown Store (51).JPEG
Yerba Mate Guayaki 16oz Can	energy	KEHE	Uptown Store (51).JPEG
Get Lucky Energy 16oz Can	energy	UNKNOWN	Uptown Store (51).JPEG
La Marca Prosecco 750ml	wine	BREAKTHRU	Uptown Store (52).JPEG
Veuve Clicquot Brut Yellow Label 750ml	wine	BREAKTHRU	Uptown Store (52).JPEG
Riondo Prosecco 750ml	wine	BREAKTHRU	Uptown Store (52).JPEG
Chandon Brut 750ml	wine	BREAKTHRU	Uptown Store (52).JPEG
Mionetto Prosecco 750ml	wine	BREAKTHRU	Uptown Store (52).JPEG
Sparkling Rose Bottle 750ml	wine	UNKNOWN	Uptown Store (52).JPEG
Cocktail Hearts Sparkling 750ml	wine	UNKNOWN	Uptown Store (52).JPEG
Whispering Angel Rose 750ml	wine	BREAKTHRU	Uptown Store (53).JPEG
Kim Crawford Sauvignon Blanc 750ml	wine	UNKNOWN	Uptown Store (53).JPEG
Santa Margherita Pinot Grigio 750ml	wine	BREAKTHRU	Uptown Store (53).JPEG
Cavit Pinot Grigio 750ml	wine	UNKNOWN	Uptown Store (53).JPEG
Bogle Sauvignon Blanc 750ml	wine	UNKNOWN	Uptown Store (54).JPEG
Riesling White Wine 750ml	wine	UNKNOWN	Uptown Store (54).JPEG
Moscato White Wine 750ml	wine	UNKNOWN	Uptown Store (54).JPEG
Sweet White Wine Bottle 750ml	wine	UNKNOWN	Uptown Store (54).JPEG
Cabernet Sauvignon 750ml (assorted)	wine	UNKNOWN	Uptown Store (55).JPEG
Pinot Noir 750ml (assorted)	wine	UNKNOWN	Uptown Store (55).JPEG
Malbec 750ml (assorted)	wine	UNKNOWN	Uptown Store (55).JPEG
Apothic Red 750ml	wine	UNKNOWN	Uptown Store (56).JPEG
19 Crimes Red Blend 750ml	wine	UNKNOWN	Uptown Store (56).JPEG
Josh Cellars Cabernet 750ml	wine	UNKNOWN	Uptown Store (56).JPEG
Bogle Cabernet 750ml	wine	UNKNOWN	Uptown Store (56).JPEG
Zolo Malbec 750ml	wine	UNKNOWN	Uptown Store (57).JPEG
Caymus Cabernet 750ml	wine	BREAKTHRU	Uptown Store (57).JPEG
Hennessy VS Cognac 750ml	spirits	SOUTHERN GLAZER'S	Uptown Store (57).JPEG
